Date,index,Open,High,Low,Close,Volume,Bid1_Price,Bid1_Quantity,Ask1_Price,Ask1_Quantity,Bid2_Price,Bid2_Quantity,Ask2_Price,Ask2_Quantity,Bid3_Price,Bid3_Quantity,Ask3_Price,Ask3_Quantity,Bid4_Price,Bid4_Quantity,Ask4_Price,Ask4_Quantity,Bid5_Price,Bid5_Quantity,Ask5_Price,Ask5_Quantity
2023-05-27 17:10:00,0,26668.51,26668.51,26668.5,26668.51,0.02211,26668.50000000,3.44460000,26668.51000000,5.78672000,26668.40000000,0.00138000,26668.52000000,0.98364000,26668.35000000,0.05784000,26668.53000000,0.37007000,26668.33000000,0.01496000,26668.54000000,0.00044000,26667.97000000,0.24760000,26668.65000000,0.03064000
2023-05-27 17:11:00,0,26668.51,26668.51,26668.5,26668.5,0.06392,26668.50000000,4.48307000,26668.51000000,5.93275000,26668.41000000,0.01124000,26668.53000000,0.08592000,26668.40000000,0.00138000,26668.54000000,0.00044000,26668.34000000,1.26346000,26668.59000000,0.93338000,26668.33000000,0.01496000,26668.60000000,1.66287000
2023-05-27 17:12:00,0,26668.51,26668.51,26668.5,26668.5,2.89825,26668.50000000,3.16105000,26668.51000000,6.87110000,26668.49000000,1.38984000,26668.53000000,0.08592000,26668.47000000,0.05882000,26668.54000000,0.00044000,26668.46000000,0.43727000,26668.55000000,0.00132000,26668.40000000,0.00138000,26668.60000000,0.14998000
2023-05-27 17:13:00,0,26670.51,26670.51,26670.5,26670.51,2.59176,26670.50000000,0.82336000,26670.51000000,5.64939000,26670.49000000,0.08623000,26670.53000000,0.01209000,26670.43000000,0.00066000,26670.54000000,0.11741000,26670.37000000,0.64465000,26670.57000000,2.44732000,26670.36000000,0.18719000,26670.58000000,3.43983000
2023-05-27 17:14:00,0,26670.5,26670.51,26670.5,26670.5,1.45314,26670.50000000,5.60991000,26670.51000000,2.76791000,26670.49000000,0.08623000,26670.56000000,0.66018000,26670.43000000,0.00066000,26670.57000000,0.29323000,26670.36000000,0.18719000,26670.60000000,0.30599000,26670.33000000,0.03748000,26670.65000000,0.10000000
2023-05-27 17:15:00,0,26670.51,26670.51,26670.5,26670.5,3.56454,26670.50000000,5.63584000,26670.51000000,0.11251000,26670.49000000,0.33917000,26670.68000000,0.00094000,26670.43000000,0.00066000,26671.14000000,0.00644000,26670.41000000,0.09371000,26671.22000000,0.07648000,26670.33000000,0.03748000,26671.30000000,0.00933000
2023-05-27 17:16:00,0,26672.36,26672.36,26672.35,26672.36,0.06505,26672.35000000,6.38015000,26672.36000000,0.46915000,26672.34000000,0.02332000,26672.37000000,0.01157000,26672.32000000,0.14768000,26672.49000000,0.00038000,26672.07000000,0.03824000,26673.18000000,0.19367000,26672.06000000,1.87112000,26673.19000000,0.12314000
2023-05-27 17:17:00,0,26675.8,26675.81,26675.8,26675.81,1.52222,26675.80000000,5.80846000,26675.81000000,1.93053000,26675.63000000,0.00066000,26675.82000000,0.06524000,26675.50000000,0.09369000,26675.88000000,0.07469000,26675.33000000,0.00633000,26675.93000000,0.00749000,26675.15000000,0.04900000,26675.98000000,0.00694000
2023-05-27 17:18:00,0,26675.97,26675.97,26675.96,26675.97,0.27202,26675.96000000,8.32363000,26675.97000000,1.16211000,26675.93000000,0.00416000,26675.98000000,0.20801000,26675.87000000,1.42634000,26675.99000000,0.30022000,26675.86000000,0.37476000,26676.01000000,0.05244000,26675.81000000,0.04500000,26676.14000000,0.00634000
2023-05-27 17:19:00,0,26675.96,26675.97,26675.96,26675.96,0.33258,26675.96000000,7.22136000,26675.97000000,1.44970000,26675.93000000,0.00416000,26675.98000000,0.00694000,26675.90000000,0.04900000,26675.99000000,0.39558000,26675.81000000,0.00187000,26676.00000000,0.10680000,26675.80000000,0.32136000,26676.14000000,0.00634000
